id,ciudad,fecha,anio,mes,hora,dia_semana,es_fin_semana,periodo_dia,categoria_delito,es_peligroso,latitud,longitud
33147224,philadelphia,2025-08-26,2025,8,16,tuesday,False,tarde,agresion,True,39.96305268,-75.23185505
28702434,philadelphia,2025-04-21,2025,4,7,monday,False,mañana,robo_vehiculo,False,40.04297388,-75.12790229
28028573,philadelphia,2025-03-31,2025,3,12,monday,False,tarde,robo_vehiculo,False,40.04056515,-75.02623902
32418221,philadelphia,2025-08-05,2025,8,20,tuesday,False,noche,fraude_engaño,False,40.07229637,-75.03875516
36267376,philadelphia,2025-12-01,2025,12,16,monday,False,tarde,robo_vehiculo,False,39.93029945,-75.1749708
36267381,philadelphia,2025-12-01,2025,12,15,monday,False,tarde,robo_vehiculo,False,39.95988561,-75.20671646
33496833,philadelphia,2025-09-05,2025,9,21,friday,False,noche,violacion_armas,True,39.99553128,-75.1187021
32770124,philadelphia,2025-08-16,2025,8,3,saturday,True,madrugada,orden_publico,False,40.0121871,-75.15215445
28702460,philadelphia,2025-04-20,2025,4,23,sunday,True,noche,robo_vehiculo,False,39.98322966,-75.14336365
31721891,philadelphia,2025-07-16,2025,7,19,wednesday,False,noche,sin_relevancia,False,40.05674213,-75.16446892
31721892,philadelphia,2025-07-17,2025,7,2,thursday,False,madrugada,sin_relevancia,False,40.04913891,-75.15999296
34525374,philadelphia,2025-10-05,2025,10,16,sunday,True,tarde,daño_propiedad,False,39.99463316,-75.09555728
33147254,philadelphia,2025-08-26,2025,8,15,tuesday,False,tarde,fraude_engaño,False,39.95132416,-75.17765891
34186806,philadelphia,2025-09-26,2025,9,2,friday,False,madrugada,orden_publico,False,39.97855961,-75.15687001
33147256,philadelphia,2025-08-26,2025,8,10,tuesday,False,mañana,fraude_engaño,False,39.98780132,-75.18610159
33147257,philadelphia,2025-08-27,2025,8,9,wednesday,False,mañana,fraude_engaño,False,39.94797664,-75.22496369
33147259,philadelphia,2025-08-27,2025,8,9,wednesday,False,mañana,fraude_engaño,False,40.01286675,-75.06927437
33147262,philadelphia,2025-08-26,2025,8,18,tuesday,False,noche,fraude_engaño,False,39.95079676,-75.1544452
34525378,philadelphia,2025-10-05,2025,10,19,sunday,True,noche,daño_propiedad,False,39.99140855,-75.11414901
33147264,philadelphia,2025-08-26,2025,8,10,tuesday,False,mañana,fraude_engaño,False,39.99031276,-75.15889387
34525382,philadelphia,2025-10-05,2025,10,23,sunday,True,noche,daño_propiedad,False,40.00464201,-75.09554305
29730955,philadelphia,2025-05-20,2025,5,17,tuesday,False,tarde,sin_relevancia,False,39.99487071,-75.14544455
33147270,philadelphia,2025-08-26,2025,8,18,tuesday,False,noche,fraude_engaño,False,39.95079676,-75.1544452
35956504,philadelphia,2025-11-20,2025,11,15,thursday,False,tarde,drogas,False,39.9501926,-75.16193118
29730958,philadelphia,2025-05-20,2025,5,17,tuesday,False,tarde,sin_relevancia,False,40.01115643,-75.08890397
35956505,philadelphia,2025-11-20,2025,11,15,thursday,False,tarde,drogas,False,39.9501926,-75.16193118
29730960,philadelphia,2025-05-20,2025,5,19,tuesday,False,noche,sin_relevancia,False,40.01692929,-75.08318777
32077422,philadelphia,2025-07-26,2025,7,10,saturday,True,mañana,robo_vehiculo,False,40.02621243,-75.13983894
34186819,philadelphia,2025-09-25,2025,9,20,thursday,False,noche,orden_publico,False,39.97870893,-75.15770423
34186820,philadelphia,2025-09-25,2025,9,20,thursday,False,noche,orden_publico,False,39.97870893,-75.15770423
