umap1,umap2
11.506149,6.229375
11.657116,6.21847
11.849318,6.324147
11.849318,6.324147
11.557826,6.2116976
11.541549,6.2159886
11.479636,6.2038975
11.614922,6.1373262
11.554759,6.212547
11.610031,6.133413
11.671661,5.9860144
11.545713,6.1908536
11.529099,6.1279993
11.486343,6.2822833
11.546852,6.217172
11.547743,6.213684
11.673088,5.8901486
11.480766,6.278169
11.650508,5.9895616
11.54311,6.2113476
11.548422,6.2131643
11.614969,6.1373534
11.522272,6.1248403
11.548776,6.2095633
11.563922,6.126813
11.613965,5.9738207
11.511162,6.088682
11.554655,6.206025
11.590818,6.071164
11.552561,6.209616
11.5454035,6.215417
11.698923,5.957651
11.661106,6.2266016
11.480645,6.1317883
11.676994,5.9980373
11.600121,6.1389546
11.584665,6.1324825
11.6682,6.218557
11.49443,6.2742705
11.491401,6.212217
11.647182,5.973653
11.543761,6.222167
11.513464,6.2537904
11.599158,6.2293243
11.56551,6.226768
11.6981325,5.954033
12.19009,6.781584
11.674496,5.9262476
12.124245,6.795654
12.171632,6.8112035
11.636023,6.2516212
11.690557,5.9289007
12.111263,6.946764
11.990691,6.5881314
11.838893,6.341357
11.510057,6.3540783
11.5563965,6.2329183
12.175485,6.7976103
11.69562,5.9464483
11.517209,6.2842255
11.536542,6.2710905
12.181665,6.840462
11.598788,5.9157557
11.557516,6.230079
12.139522,6.7629147
11.637588,5.9627414
11.6093855,6.2291503
11.556543,6.2088947
11.637407,6.203913
11.621515,6.0219183
12.17758,6.773361
11.637418,6.206216
11.558847,6.1973953
12.052428,6.4514217
11.698901,5.956935
11.751549,6.1861663
11.711793,6.3701067
11.666115,5.910672
11.621711,6.2070737
11.6311245,6.21243
11.526537,6.186509
11.575371,6.205831
11.677494,5.983858
12.154202,6.5292897
11.623705,6.1961474
11.558009,6.202222
11.612543,6.128774
11.542209,6.1920567
11.546015,6.2198133
11.685548,5.973369
11.739343,6.198506
11.69349,6.356859
11.648334,5.958117
12.258056,6.7880635
12.168711,6.8478684
